feature_a,feature_b,group_a,group_b,mean_abs_interaction
pct_low_income,nbr_count_25km,Community & EJ context,Regional PM signal,0.012913560932735164
pct_low_income,dist_to_coast,Community & EJ context,Geography,0.012694950117647942
rmp_proximity,dist_to_nearest_sensor,Local sources,Geography,0.012607541120431259
precipitation,nbr_pm25_25km,Meteorology,Regional PM signal,0.012543852484419723
traffic_proximity,rmp_proximity,Local sources,Local sources,0.012533054858813347
longitude,nbr_count_100km,Geography,Regional PM signal,0.012519317389918662
ejf_score,traffic_proximity,Community & EJ context,Local sources,0.012370252262823223
rmp_proximity,nbr_count_25km,Local sources,Regional PM signal,0.012292590884485376
pct_low_income,nbr_pm25_50km,Community & EJ context,Regional PM signal,0.01221537311482039
pct_people_of_color,traffic_proximity,Community & EJ context,Local sources,0.0120768588173168
ejf_score,nbr_pm25_50km,Community & EJ context,Regional PM signal,0.012063551832855738
dist_to_nearest_sensor,nbr_count_100km,Geography,Regional PM signal,0.012004596773584487
aod,cams_pm25,Regional PM signal,Regional PM signal,0.011887304281680562
dist_to_nearest_sensor,nbr_count_50km,Geography,Regional PM signal,0.011877723152102455
nbr_pm25_25km,day_of_year,Regional PM signal,Season & calendar,0.011848015007675166
dist_to_nearest_sensor,nbr_count_25km,Geography,Regional PM signal,0.011847185991514091
pressure,nbr_pm25_50km,Meteorology,Regional PM signal,0.01182351662791072
latitude,nbr_count_50km,Geography,Regional PM signal,0.011644131627204644
pct_people_of_color,diesel_pm_proximity,Community & EJ context,Local sources,0.011619067242053902
nbr_count_100km,cams_pm25,Regional PM signal,Regional PM signal,0.011571008388365658
traffic_proximity,latitude,Local sources,Geography,0.011507132014474532
nbr_pm25_100km,day_of_year,Regional PM signal,Season & calendar,0.0114504254666693
superfund_proximity,nbr_pm25_100km,Local sources,Regional PM signal,0.011412922770694875
nbr_pm25_100km,doy_sin,Regional PM signal,Season & calendar,0.011359785485363105
pct_ling_isolated,nbr_count_25km,Community & EJ context,Regional PM signal,0.011309298327978532
superfund_proximity,pct_ling_isolated,Local sources,Community & EJ context,0.011161422974103517
latitude,nbr_pm25_50km,Geography,Regional PM signal,0.0111218532463839
dist_to_coast,nbr_std_50km,Geography,Regional PM signal,0.011082839215163422
diesel_pm_proximity,nbr_pm25_100km,Local sources,Regional PM signal,0.011024365367375546
